"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","A","20110101","2011","52","2011","842","USA","USA","M","Import","0","W00","World","0","W00","World","H3","HS","true","010392","Swine; live, (other than pure-bred breeding animals), weighing 50kg or more","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","992915","false","-1","N/A",,"false","157873344","false",,"false","170534929",,"170534929","0","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","X","Export","0","W00","World","0","W00","World","H3","HS","true","010391","Swine; live, (other than pure-bred breeding animals), weighing less than 50kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","862","false","-1","N/A",,"false","231818","true",,"false",,"567441","567441","4","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","M","Import","0","W00","World","0","W00","World","H3","HS","true","010391","Swine; live, (other than pure-bred breeding animals), weighing less than 50kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","4800747","false","-1","N/A",,"false","55535167","false",,"false","196373144",,"196373144","0","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","X","Export","0","W00","World","0","W00","World","H3","HS","true","010310","Swine; live, pure-bred breeding animals","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","24989","false","-1","N/A",,"false","2429395","true",,"false",,"20291232","20291232","4","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","M","Import","0","W00","World","0","W00","World","H3","HS","true","010310","Swine; live, pure-bred breeding animals","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","939","false","-1","N/A",,"false","30997","true",,"false","264629",,"264629","4","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","X","Export","0","W00","World","0","W00","World","H3","HS","true","010290","Bovine animals; live, other than pure-bred breeding animals","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","89393","false","-1","N/A",,"false","24184624","true",,"false",,"67422296","67422296","4","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","M","Import","0","W00","World","0","W00","World","H3","HS","true","010290","Bovine animals; live, other than pure-bred breeding animals","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","2120455","false","-1","N/A",,"false","690470053","false",,"false","1481746412",,"1481746412","0","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","X","Export","0","W00","World","0","W00","World","H3","HS","true","010210","Bovine animals; live, pure-bred breeding animals","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","105001","false","-1","N/A",,"false","91029342","true",,"false",,"312948594","312948594","4","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","M","Import","0","W00","World","0","W00","World","H3","HS","true","010210","Bovine animals; live, pure-bred breeding animals","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","3475","false","-1","N/A",,"false","1290138","true",,"false","5138440",,"5138440","4","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","X","Export","0","W00","World","0","W00","World","H3","HS","true","010190","Horses, asses, mules and hinnies; live, other than pure-bred breeding animals","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","179401","false","-1","N/A",,"false",,"false",,"false",,"314715390","314715390","0","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","M","Import","0","W00","World","0","W00","World","H3","HS","true","010190","Horses, asses, mules and hinnies; live, other than pure-bred breeding animals","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","13013","false","-1","N/A",,"false","18022627","true",,"false","300660555",,"300660555","4","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","X","Export","0","W00","World","0","W00","World","H3","HS","true","010110","Horses, asses, mules and hinnies; live, pure-bred breeding animals","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","6547","false","-1","N/A",,"false","1297846","true",,"false",,"36628379","36628379","4","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","M","Import","0","W00","World","0","W00","World","H3","HS","true","010110","Horses, asses, mules and hinnies; live, pure-bred breeding animals","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1733","false","-1","N/A",,"false",,"false",,"false","19872161",,"19872161","0","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","X","Export","0","W00","World","0","W00","World","H3","HS","true","020410","Meat; of sheep, lamb carcasses and half-carcasses, fresh or chilled","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","159956","false","-1","N/A",,"false","159956","false",,"false",,"436449","436449","0","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","M","Import","0","W00","World","0","W00","World","H3","HS","true","020421","Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), fresh or chilled","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","125510","false","-1","N/A",,"false","125510","false",,"false","205738",,"205738","0","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","X","Export","0","W00","World","0","W00","World","H3","HS","true","020421","Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), fresh or chilled","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","118981","false","-1","N/A",,"false","118981","false",,"false",,"449291","449291","0","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","M","Import","0","W00","World","0","W00","World","H3","HS","true","020422","Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","21377656","false","-1","N/A",,"false","21377656","false",,"false","296154013",,"296154013","0","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","X","Export","0","W00","World","0","W00","World","H3","HS","true","020422","Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1190322","false","-1","N/A",,"false","1190322","false",,"false",,"4161413","4161413","0","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","M","Import","0","W00","World","0","W00","World","H3","HS","true","020423","Meat; of sheep (including lamb), boneless cuts, fresh or chilled","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8206950","false","-1","N/A",,"false","8206950","false",,"false","91749003",,"91749003","0","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","X","Export","0","W00","World","0","W00","World","H3","HS","true","020423","Meat; of sheep (including lamb), boneless cuts, fresh or chilled","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","274123","false","-1","N/A",,"false","274123","false",,"false",,"1080856","1080856","0","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","M","Import","0","W00","World","0","W00","World","H3","HS","true","020430","Meat; of sheep, lamb carcasses and half-carcasses, frozen","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","723418","false","-1","N/A",,"false","723418","false",,"false","4712709",,"4712709","0","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","X","Export","0","W00","World","0","W00","World","H3","HS","true","020430","Meat; of sheep, lamb carcasses and half-carcasses, frozen","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","314044","false","-1","N/A",,"false","314044","false",,"false",,"2751347","2751347","0","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","M","Import","0","W00","World","0","W00","World","H3","HS","true","020441","Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), frozen","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4492097","false","-1","N/A",,"false","4492097","false",,"false","16747559",,"16747559","0","true","false",
